workflow,node_name,node_type,type_version,credential_types
02-data-ingestion-pipeline.json,Pengecekan DB File,n8n-nodes-base.if,2.3,
02-data-ingestion-pipeline.json,Delete list 1 File & Folder Sementara,n8n-nodes-base.supabase,1,supabaseApi
02-data-ingestion-pipeline.json,Delete list 1 File & Folder Sementara (Folder),n8n-nodes-base.supabase,1,supabaseApi
02-data-ingestion-pipeline.json,Mengambil DB ID seluruh File,n8n-nodes-base.supabase,1,supabaseApi
02-data-ingestion-pipeline.json,Sticky Note17,n8n-nodes-base.stickyNote,1,
02-data-ingestion-pipeline.json,Sticky Note18,n8n-nodes-base.stickyNote,1,
02-data-ingestion-pipeline.json,AI Agent Labelling,@n8n/n8n-nodes-langchain.chainLlm,1.7,
02-data-ingestion-pipeline.json,Create Row in Record Manager,n8n-nodes-base.supabase,1,supabaseApi
02-data-ingestion-pipeline.json,Generate SQL Schema,n8n-nodes-base.code,2,
02-data-ingestion-pipeline.json,Create Table From SQL Schema,n8n-nodes-base.postgres,2.6,postgres
02-data-ingestion-pipeline.json,Create Index From SQL Schema,n8n-nodes-base.postgres,2.6,postgres
02-data-ingestion-pipeline.json,Generate Insert Queries,n8n-nodes-base.code,2,
02-data-ingestion-pipeline.json,Execute a SQL query,n8n-nodes-base.postgres,2.6,postgres
02-data-ingestion-pipeline.json,Delete table or rows,n8n-nodes-base.postgres,2.6,postgres
02-data-ingestion-pipeline.json,Cleaning Tabular Data,n8n-nodes-base.code,2,
02-data-ingestion-pipeline.json,Sticky Note8,n8n-nodes-base.stickyNote,1,
02-data-ingestion-pipeline.json,Persiapan Text menuju Embedding,n8n-nodes-base.set,3.4,
02-data-ingestion-pipeline.json,Pembersihan Text,n8n-nodes-base.code,2,
02-data-ingestion-pipeline.json,Default Data Loader,@n8n/n8n-nodes-langchain.documentDefaultDataLoader,1.1,
02-data-ingestion-pipeline.json,Recursive Character Text Splitter,@n8n/n8n-nodes-langchain.textSplitterRecursiveCharacterTextSplitter,1,
02-data-ingestion-pipeline.json,Knowledge Base (Vector DB),@n8n/n8n-nodes-langchain.vectorStoreSupabase,1.3,supabaseApi
02-data-ingestion-pipeline.json,Text File Processed (Done),n8n-nodes-base.noOp,1,
02-data-ingestion-pipeline.json,Tabular File Processed (Done),n8n-nodes-base.noOp,1,
02-data-ingestion-pipeline.json,Proceed to Next File (if any),n8n-nodes-base.noOp,1,
02-data-ingestion-pipeline.json,Sticky Note2,n8n-nodes-base.stickyNote,1,
02-data-ingestion-pipeline.json,Sticky Note19,n8n-nodes-base.stickyNote,1,
02-data-ingestion-pipeline.json,Sticky Note9,n8n-nodes-base.stickyNote,1,
02-data-ingestion-pipeline.json,Not Modified File Processed (Done),n8n-nodes-base.noOp,1,
02-data-ingestion-pipeline.json,Pengambilan DB File Pengecekan,n8n-nodes-base.supabase,1,supabaseApi
02-data-ingestion-pipeline.json,Delete a row,n8n-nodes-base.supabase,1,supabaseApi
02-data-ingestion-pipeline.json,DeepsSeek Agent (Labelling Data),n8n-nodes-deepseek-reasoner.deepSeekReasoner,1,deepSeekReasonerApi
02-data-ingestion-pipeline.json,HuggingFace Agent (Embedding Data),@n8n/n8n-nodes-langchain.embeddingsHuggingFaceInference,1,huggingFaceApi
02-data-ingestion-pipeline.json,Check Tabular / Text ?,n8n-nodes-base.switch,3.3,
02-data-ingestion-pipeline.json,Output Parser (File Category & Summary),@n8n/n8n-nodes-langchain.outputParserStructured,1.3,
02-data-ingestion-pipeline.json,ingestion Pipeline Done,n8n-nodes-base.noOp,1,
02-data-ingestion-pipeline.json,Data Check Time Track,n8n-nodes-base.timeSaved,1,
02-data-ingestion-pipeline.json,Data Analyst Time Track,n8n-nodes-base.timeSaved,1,
02-data-ingestion-pipeline.json,New Data Extraction Time Track,n8n-nodes-base.timeSaved,1,
02-data-ingestion-pipeline.json,Changed Data Extraction Time Track,n8n-nodes-base.timeSaved,1,
02-data-ingestion-pipeline.json,Schedule Trigger,n8n-nodes-base.scheduleTrigger,1.3,
02-data-ingestion-pipeline.json,Set Root Folder,n8n-nodes-base.set,3.4,
02-data-ingestion-pipeline.json,Search files and folders,n8n-nodes-base.googleDrive,3,googleDriveOAuth2Api
03-data-deletion-pipeline.json,Sticky Note4,n8n-nodes-base.stickyNote,1,
03-data-deletion-pipeline.json,Delete Trash Vectors,n8n-nodes-base.supabase,1,supabaseApi
03-data-deletion-pipeline.json,Delete from Record Manager,n8n-nodes-base.supabase,1,supabaseApi
03-data-deletion-pipeline.json,Loop Over Trash Files,n8n-nodes-base.splitInBatches,3,
03-data-deletion-pipeline.json,If Vectors/Rows Exist,n8n-nodes-base.if,2.2,
03-data-deletion-pipeline.json,Search Trash File in Record Manager,n8n-nodes-base.supabase,1,supabaseApi
03-data-deletion-pipeline.json,Check File Format (Tabular / Text),n8n-nodes-base.switch,3.3,
03-data-deletion-pipeline.json,Aggregate Trash Data,n8n-nodes-base.aggregate,1,
03-data-deletion-pipeline.json,Sticky Note12,n8n-nodes-base.stickyNote,1,
03-data-deletion-pipeline.json,Sticky Note13,n8n-nodes-base.stickyNote,1,
03-data-deletion-pipeline.json,Continue to Next Trash File (if any),n8n-nodes-base.noOp,1,
03-data-deletion-pipeline.json,Delete File from Folder,n8n-nodes-base.googleDrive,3,googleDriveOAuth2Api
03-data-deletion-pipeline.json,Sticky Note5,n8n-nodes-base.stickyNote,1,
03-data-deletion-pipeline.json,Pencarian folder 'AI SISIP' (Trash),n8n-nodes-base.googleDrive,3,googleDriveOAuth2Api
03-data-deletion-pipeline.json,Pencarian Folder Trash,n8n-nodes-base.googleDrive,3,googleDriveOAuth2Api
03-data-deletion-pipeline.json,Pencarian File Trash,n8n-nodes-base.googleDrive,3,googleDriveOAuth2Api
03-data-deletion-pipeline.json,Input 1 DB File dan Folder Sementara (Trash),n8n-nodes-base.splitInBatches,3,
03-data-deletion-pipeline.json,Pengecekan DB yang di ambil,n8n-nodes-base.if,2.3,
03-data-deletion-pipeline.json,Delete table from trash file in record manager,n8n-nodes-base.postgres,2.6,postgres
03-data-deletion-pipeline.json,Deletion Pipeline Done,n8n-nodes-base.noOp,1,
03-data-deletion-pipeline.json,Schedule Trigger,n8n-nodes-base.scheduleTrigger,1.3,
04-ai-self-healing-engine.json,Error Trigger,n8n-nodes-base.errorTrigger,1,
04-ai-self-healing-engine.json,Extract Raw Error,n8n-nodes-base.set,3.4,
04-ai-self-healing-engine.json,Filter: Ignore Self,n8n-nodes-base.filter,1,
04-ai-self-healing-engine.json,Sticky Note5,n8n-nodes-base.stickyNote,1,
04-ai-self-healing-engine.json,Sticky Note6,n8n-nodes-base.stickyNote,1,
04-ai-self-healing-engine.json,Sticky Note7,n8n-nodes-base.stickyNote,1,
04-ai-self-healing-engine.json,Sticky Note8,n8n-nodes-base.stickyNote,1,
04-ai-self-healing-engine.json,Sticky Note9,n8n-nodes-base.stickyNote,1,
04-ai-self-healing-engine.json,Diagnose Error1,@n8n/n8n-nodes-langchain.agent,2,
04-ai-self-healing-engine.json,Decision Schema1,@n8n/n8n-nodes-langchain.outputParserStructured,1.1,
04-ai-self-healing-engine.json,Determine Action3,n8n-nodes-base.switch,3.4,
04-ai-self-healing-engine.json,Get Workflow,n8n-nodes-base.httpRequest,4.1,
04-ai-self-healing-engine.json,Cool Down2,n8n-nodes-base.wait,1.1,
04-ai-self-healing-engine.json,Sticky Note10,n8n-nodes-base.stickyNote,1,
04-ai-self-healing-engine.json,Get row(s),n8n-nodes-base.dataTable,1.1,
04-ai-self-healing-engine.json,Output Parser (Question Category),@n8n/n8n-nodes-langchain.outputParserStructured,1.3,
04-ai-self-healing-engine.json,Main AI Agent,@n8n/n8n-nodes-langchain.agent,3,
04-ai-self-healing-engine.json,Sticky Note14,n8n-nodes-base.stickyNote,1,
04-ai-self-healing-engine.json,Question Categorizer,@n8n/n8n-nodes-langchain.chainLlm,1.7,
04-ai-self-healing-engine.json,Sticky Note15,n8n-nodes-base.stickyNote,1,
04-ai-self-healing-engine.json,Chat Memory (n8n Chat),@n8n/n8n-nodes-langchain.memoryBufferWindow,1.3,
04-ai-self-healing-engine.json,Find Dataset,n8n-nodes-base.postgresTool,2.6,postgres
04-ai-self-healing-engine.json,Run SQL Query,n8n-nodes-base.postgresTool,2.6,postgres
04-ai-self-healing-engine.json,Search SISIP Knowledge,@n8n/n8n-nodes-langchain.vectorStoreSupabase,1.3,supabaseApi
04-ai-self-healing-engine.json,DeepSeek Chat Categorizer,n8n-nodes-deepseek-reasoner.deepSeekReasoner,1,deepSeekReasonerApi
04-ai-self-healing-engine.json,Embeddings HuggingFace Inference,@n8n/n8n-nodes-langchain.embeddingsHuggingFaceInference,1,huggingFaceApi
04-ai-self-healing-engine.json,DeepSeek Chat Model,@n8n/n8n-nodes-langchain.lmChatDeepSeek,1,deepSeekApi
04-ai-self-healing-engine.json,Send Whatsapp Message2,n8n-nodes-waha.WAHA,202411,wahaApi
04-ai-self-healing-engine.json,Format Whatsapp Output2,n8n-nodes-base.code,2,
04-ai-self-healing-engine.json,Sticky Note,n8n-nodes-base.stickyNote,1,
04-ai-self-healing-engine.json,Send Whatsapp Message5,n8n-nodes-waha.WAHA,202411,wahaApi
04-ai-self-healing-engine.json,Format Whatsapp Output5,n8n-nodes-base.code,2,
04-ai-self-healing-engine.json,Error Message (Skip Auto-Correction) Done2,n8n-nodes-base.noOp,1,
04-ai-self-healing-engine.json,Get many threads2,n8n-nodes-base.gmail,2.2,gmailOAuth2
04-ai-self-healing-engine.json,Workflow Filtering,n8n-nodes-base.if,2.3,
04-ai-self-healing-engine.json,Sticky Note11,n8n-nodes-base.stickyNote,1,
04-ai-self-healing-engine.json,Different Item Filtering,n8n-nodes-base.if,2.3,
04-ai-self-healing-engine.json,DeepSeek Reasoner,n8n-nodes-deepseek-reasoner.deepSeekReasoner,1,deepSeekReasonerApi
04-ai-self-healing-engine.json,Error Status Check,n8n-nodes-base.dataTable,1.1,
04-ai-self-healing-engine.json,Deepseek LLM (Ingestion & Deletion),n8n-nodes-deepseek-reasoner.deepSeekReasoner,1,deepSeekReasonerApi
04-ai-self-healing-engine.json,Decision Schema (Ingestion & Deletion),@n8n/n8n-nodes-langchain.outputParserStructured,1.3,
04-ai-self-healing-engine.json,Get Workflow (Ingestion & Deletion),n8n-nodes-base.httpRequest,4.1,n8nApi
04-ai-self-healing-engine.json,Insert Error Status Table (Ingestion & Deletion),n8n-nodes-base.dataTable,1.1,
04-ai-self-healing-engine.json,Determine Action (Ingestion & Deletion),n8n-nodes-base.switch,3.4,
04-ai-self-healing-engine.json,Retry Fixed Execution (Ingestion & Deletion),n8n-nodes-base.httpRequest,4.1,
04-ai-self-healing-engine.json,Update Fixed Workflow (Ingestion & Deletion),n8n-nodes-base.httpRequest,4.1,
04-ai-self-healing-engine.json,Generate Fixed Patch (Ingestion & Deletion),n8n-nodes-base.code,2,
04-ai-self-healing-engine.json,Cool Down Retry (Ingestion & Deletion),n8n-nodes-base.wait,1.1,
04-ai-self-healing-engine.json,Error Message (Fix Ingestion & Deletion) Done,n8n-nodes-base.noOp,1,
04-ai-self-healing-engine.json,Error Message (Retry Ingestion & Deletion) Done,n8n-nodes-base.noOp,1,
04-ai-self-healing-engine.json,Send Email Retry Status (Ingestion & Deletion),n8n-nodes-base.gmail,2.2,gmailOAuth2
04-ai-self-healing-engine.json,Send Whatsapp Message Error Retry Status (Ingestion & Deletion),n8n-nodes-waha.WAHA,202411,wahaApi
04-ai-self-healing-engine.json,AI Agent (Ingestion & Deletion),@n8n/n8n-nodes-langchain.chainLlm,1.9,
04-ai-self-healing-engine.json,Retry Execution (Ingestion & Deletion),n8n-nodes-base.httpRequest,4.1,
04-ai-self-healing-engine.json,Send Email Skipped Status (Ingestion & Deletion),n8n-nodes-base.gmail,2.2,gmailOAuth2
04-ai-self-healing-engine.json,Send Whatsapp Message Error Skipped Status (Ingestion & Deletion),n8n-nodes-waha.WAHA,202411,wahaApi
04-ai-self-healing-engine.json,Error Message (Skip Auto-Correction) Done1,n8n-nodes-base.noOp,1,
04-ai-self-healing-engine.json,Send Whatsapp Message Error Skipped Status (Ingestion & Deletion)1,n8n-nodes-waha.WAHA,202411,wahaApi
04-ai-self-healing-engine.json,Send Email Fix Status (Ingestion & Deletion),n8n-nodes-base.gmail,2.2,gmailOAuth2
04-ai-self-healing-engine.json,Send Whatsapp Message Error Fix Status (Ingestion & Deletion),n8n-nodes-waha.WAHA,202411,wahaApi
04-ai-self-healing-engine.json,Send Email Skipped Status (AI Agent),n8n-nodes-base.gmail,2.2,gmailOAuth2
04-ai-self-healing-engine.json,Error Message (Skip Ingestion & Deletion) Done,n8n-nodes-base.noOp,1,
